engine,date,originalversion,version
iojs,2015-09-15,3.31,331
node,2015-09-08,4.00,400
iojs,2015-09-02,3.30,330
iojs,2015-08-25,3.20,320
iojs,2015-08-18,3.10,310
iojs,2015-08-04,3.00,300
iojs,2015-07-28,2.50,250
iojs,2015-07-17,2.40,240
iojs,2015-07-09,2.34,234
node,2015-07-09,0.12.7,012.7
node,2015-07-09,0.10.40,010.40
iojs,2015-07-04,2.33,233
node,2015-07-03,0.12.6,012.6
iojs,2015-07-01,2.32,232
iojs,2015-06-23,2.31,231
node,2015-06-22,0.12.5,012.5
node,2015-06-18,0.10.39,010.39
iojs,2015-06-13,2.30,230
iojs,2015-06-01,2.21,221
iojs,2015-05-31,2.20,220
iojs,2015-05-24,2.10,210
node,2015-05-22,0.12.4,012.4
iojs,2015-05-15,2.02,202
node,2015-05-13,0.12.3,012.3
iojs,2015-05-07,2.01,201
iojs,2015-05-04,2.00,200
iojs,2015-04-20,1.81,181
iojs,2015-04-14,1.70,170
iojs,2015-04-06,1.64,164
iojs,2015-03-31,1.63,163
node,2015-03-31,0.12.2,012.2
iojs,2015-03-23,1.62,162
node,2015-03-23,0.12.1,012.1
node,2015-03-23,0.10.38,010.38
iojs,2015-03-20,1.61,161
iojs,2015-03-19,1.60,160
node,2015-03-11,0.10.37,010.37
iojs,2015-03-09,1.51,151
iojs,2015-03-06,1.50,150
iojs,2015-03-02,1.43,143
iojs,2015-02-28,1.42,142
iojs,2015-02-26,1.41,141
iojs,2015-02-20,1.30,130
iojs,2015-02-10,1.20,120
node,2015-02-06,0.12.0,012.0
iojs,2015-02-03,1.10,110
node,2015-01-26,0.10.36,010.36
iojs,2015-01-24,1.04,104
iojs,2015-01-20,1.03,103
iojs,2015-01-16,1.02,102
iojs,2015-01-14,1.01,101
node,2014-09-24,0.11.14,011.14
node,2014-05-01,0.11.13,011.13
node,2014-03-11,0.11.12,011.12
node,2014-01-29,0.11.11,011.11
node,2013-12-31,0.11.10,011.10
node,2013-11-20,0.11.9,011.9
node,2013-10-30,0.11.8,011.8
node,2013-08-21,0.11.7,011.7
node,2013-08-21,0.11.6,011.6
node,2013-08-06,0.11.5,011.5
node,2013-07-12,0.11.4,011.4
node,2013-06-26,0.11.3,011.3
node,2013-05-13,0.11.2,011.2
node,2013-04-19,0.11.1,011.1
node,2013-03-28,0.11.0,011.0
node,2014-12-22,0.10.35,010.35
node,2014-12-17,0.10.34,010.34
node,2014-10-20,0.10.33,010.33
node,2014-09-16,0.10.32,010.32
node,2014-08-19,0.10.31,010.31
node,2014-07-31,0.10.30,010.30
node,2014-06-05,0.10.29,010.29
node,2014-05-01,0.10.28,010.28
node,2014-05-01,0.10.27,010.27
node,2014-02-18,0.10.26,010.26
node,2014-01-23,0.10.25,010.25
node,2013-12-18,0.10.24,010.24
node,2013-12-12,0.10.23,010.23
node,2013-11-12,0.10.22,010.22
node,2013-10-18,0.10.21,010.21
node,2013-09-30,0.10.20,010.20
node,2013-09-24,0.10.19,010.19
node,2013-09-04,0.10.18,010.18
node,2013-08-21,0.10.17,010.17
node,2013-08-16,0.10.16,010.16
node,2013-07-25,0.10.15,010.15
node,2013-07-25,0.10.14,010.14
node,2013-07-09,0.10.13,010.13
node,2013-06-18,0.10.12,010.12
node,2013-06-13,0.10.11,010.11
node,2013-06-04,0.10.10,010.10
node,2013-05-30,0.10.9,010.9
node,2013-05-24,0.10.8,010.8
node,2013-05-17,0.10.7,010.7
node,2013-05-14,0.10.6,010.6
node,2013-04-23,0.10.5,010.5
node,2013-04-11,0.10.4,010.4
node,2013-04-03,0.10.3,010.3
node,2013-03-28,0.10.2,010.2
node,2013-03-21,0.10.1,010.1
node,2013-03-11,0.10.0,010.0
node,2013-03-06,0.9.12,09.12
node,2013-03-01,0.9.11,09.11
node,2013-02-19,0.9.10,09.10
node,2013-02-07,0.9.9,09.9
node,2013-01-24,0.9.8,09.8
node,2013-01-18,0.9.7,09.7
node,2013-01-11,0.9.6,09.6
node,2012-12-30,0.9.5,09.5
node,2012-12-21,0.9.4,09.4
node,2012-10-24,0.9.3,09.3
node,2012-09-17,0.9.2,09.2
node,2012-08-28,0.9.1,09.1
node,2012-07-20,0.9.0,09.0
node,2013-06-13,0.8.25,08.25
node,2013-06-04,0.8.24,08.24
node,2013-04-09,0.8.23,08.23
node,2013-03-07,0.8.22,08.22
node,2013-02-25,0.8.21,08.21
node,2013-02-15,0.8.20,08.20
node,2013-02-06,0.8.19,08.19
node,2013-01-18,0.8.18,08.18
node,2013-01-09,0.8.17,08.17
node,2012-12-13,0.8.16,08.16
node,2012-11-26,0.8.15,08.15
node,2012-10-25,0.8.14,08.14
node,2012-10-25,0.8.13,08.13
node,2012-10-12,0.8.12,08.12
node,2012-09-27,0.8.11,08.11
node,2012-09-25,0.8.10,08.10
node,2012-09-11,0.8.9,08.9
node,2012-08-22,0.8.8,08.8
node,2012-08-15,0.8.7,08.7
node,2012-08-07,0.8.6,08.6
node,2012-08-02,0.8.5,08.5
node,2012-07-25,0.8.4,08.4
node,2012-07-19,0.8.3,08.3
node,2012-07-09,0.8.2,08.2
node,2012-06-29,0.8.1,08.1
node,2012-06-25,0.8.0,08.0
node,2012-06-19,0.7.12,07.12
node,2012-06-15,0.7.11,07.11
node,2012-06-11,0.7.10,07.10
node,2012-05-28,0.7.9,07.9
node,2012-04-18,0.7.8,07.8
node,2012-03-30,0.7.7,07.7
node,2012-03-13,0.7.6,07.6
node,2012-02-23,0.7.5,07.5
node,2012-02-14,0.7.4,07.4
node,2012-02-07,0.7.3,07.3
node,2012-02-01,0.7.2,07.2
node,2012-01-23,0.7.1,07.1
node,2012-01-16,0.7.0,07.0
node,2012-07-10,0.6.20,06.20
node,2012-06-06,0.6.19,06.19
node,2012-05-15,0.6.18,06.18
node,2012-05-04,0.6.17,06.17
node,2012-04-30,0.6.16,06.16
node,2012-04-09,0.6.15,06.15
node,2012-03-22,0.6.14,06.14
node,2012-03-15,0.6.13,06.13
node,2012-03-02,0.6.12,06.12
node,2012-02-17,0.6.11,06.11
node,2012-02-02,0.6.10,06.10
node,2012-01-27,0.6.9,06.9
node,2012-01-19,0.6.8,06.8
node,2012-01-06,0.6.7,06.7
node,2011-12-14,0.6.6,06.6
node,2011-12-04,0.6.5,06.5
node,2011-12-02,0.6.4,06.4
node,2011-11-25,0.6.3,06.3
node,2011-11-18,0.6.2,06.2
node,2011-11-11,0.6.1,06.1
node,2011-11-04,0.6.0,06.0
node,2011-10-21,0.5.10,05.10
node,2011-10-10,0.5.9,05.9
node,2011-09-30,0.5.8,05.8
node,2011-09-16,0.5.7,05.7
node,2011-09-08,0.5.6,05.6
node,2011-08-26,0.5.5,05.5
node,2011-08-12,0.5.4,05.4
node,2011-08-01,0.5.3,05.3
node,2011-07-22,0.5.2,05.2
node,2011-07-14,0.5.1,05.1
node,2011-07-05,0.5.0,05.0
node,2011-09-15,0.4.12,04.12
node,2011-08-17,0.4.11,04.11
node,2011-07-19,0.4.10,04.10
node,2011-06-29,0.4.9,04.9
node,2011-05-20,0.4.8,04.8
node,2011-04-22,0.4.7,04.7
node,2011-04-13,0.4.6,04.6
node,2011-04-01,0.4.5,04.5
node,2011-03-26,0.4.4,04.4
node,2011-03-18,0.4.3,04.3
node,2011-03-02,0.4.2,04.2
node,2011-02-19,0.4.1,04.1
node,2011-02-10,0.4.0,04.0
node,2011-02-04,0.3.8,03.8
node,2011-01-27,0.3.7,03.7
node,2011-01-21,0.3.6,03.6
node,2011-01-16,0.3.5,03.5
node,2011-01-08,0.3.4,03.4
node,2011-01-02,0.3.3,03.3
node,2010-12-16,0.3.2,03.2
node,2010-11-16,0.3.1,03.1
node,2010-10-23,0.3.0,03.0
node,2010-08-20,0.2.0,02.0
node,2010-08-13,0.1.104,01.104
node,2010-08-04,0.1.103,01.103
node,2010-07-25,0.1.102,01.102
node,2010-07-16,0.1.101,01.101
node,2010-07-03,0.1.100,01.100
node,2010-06-21,0.1.99,01.99
node,2010-06-11,0.1.98,01.98
node,2010-05-29,0.1.97,01.97
node,2010-05-21,0.1.96,01.96
node,2010-05-13,0.1.95,01.95
node,2010-05-06,0.1.94,01.94
node,2010-04-29,0.1.93,01.93
node,2010-04-23,0.1.92,01.92
node,2010-04-15,0.1.91,01.91
node,2010-04-09,0.1.90,01.90
node,2010-03-19,0.1.33,01.33
node,2010-03-12,0.1.32,01.32
node,2010-03-05,0.1.31,01.31
node,2010-02-22,0.1.30,01.30
node,2010-02-17,0.1.29,01.29
node,2010-02-09,0.1.28,01.28
node,2010-02-03,0.1.27,01.27
node,2010-01-20,0.1.26,01.26
node,2010-01-09,0.1.25,01.25
node,2009-12-31,0.1.24,01.24
node,2009-12-22,0.1.23,01.23
node,2009-12-19,0.1.22,01.22
node,2009-12-06,0.1.21,01.21
node,2009-11-28,0.1.20,01.20
node,2009-11-28,0.1.19,01.19
node,2009-11-17,0.1.18,01.18
node,2009-11-07,0.1.17,01.17
node,2009-11-03,0.1.16,01.16
node,2009-10-28,0.1.15,01.15
node,2009-10-09,0.1.14,01.14
node,2009-09-30,0.1.13,01.13
node,2009-09-24,0.1.12,01.12
node,2009-09-18,0.1.11,01.11
node,2009-09-11,0.1.10,01.10
node,2009-09-05,0.1.9,01.9
node,2009-08-27,0.1.7,01.7
node,2009-08-13,0.1.4,01.4
node,2009-08-01,0.1.2,01.2
node,2009-07-27,0.1.1,01.1
node,2009-06-30,0.1.0,01.0
node,2009-06-24,0.0.6,00.6
node,2009-06-18,0.0.5,00.5
node,2009-06-13,0.0.4,00.4
node,2009-06-11,0.0.3,00.3